customer_id,gender,is_senior_citizen,partner,dependents,phone_service,internet_service,contract_type,payment_type,monthly_charges,total_charges,churn,tenure,is_female,has_churned,has_phone,has_internet,has_phone_and_internet,partner_dependents,no_partners_no_dependents,no_dependents_yes_partners,dependents_no_partners,yes_dependents_and_partners,,start_date,average_monthly_charges,validate_monthly_charges,contract_type_desc,phone_type_desc,internet_type_desc
9992-UJOEL,Male,0,No,No,1,1,0,Mailed check,50.3,92.75,No,1.843936382,FALSE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,FALSE,FALSE,0,44439.9136,50.3,TRUE,Month-to-Month,One Line,DSL
9992-RRAMN,Male,0,Yes,No,2,2,0,Electronic check,85.1,1873.7,Yes,22.01762632,FALSE,TRUE,TRUE,TRUE,TRUE,1,FALSE,TRUE,FALSE,FALSE,1,43826.2972,85.1,TRUE,Month-to-Month,Two or More Lines,Fiber Optic
9986-BONCE,Female,0,No,No,1,0,0,Bank transfer (automatic),20.95,85.5,Yes,4.081145585,TRUE,TRUE,TRUE,FALSE,FALSE,0,TRUE,FALSE,FALSE,FALSE,0,44371.86516,20.95,TRUE,Month-to-Month,One Line,No Internet Service
9985-MWVIX,Female,0,No,No,1,2,0,Mailed check,70.15,70.15,Yes,1,TRUE,TRUE,TRUE,TRUE,TRUE,0,TRUE,FALSE,FALSE,FALSE,0,44465.58333,70.15,TRUE,Month-to-Month,One Line,Fiber Optic
9975-SKRNR,Male,0,No,No,1,0,0,Mailed check,18.9,18.9,No,1,FALSE,FALSE,TRUE,FALSE,FALSE,0,TRUE,FALSE,FALSE,FALSE,0,44465.58333,18.9,TRUE,Month-to-Month,One Line,No Internet Service
9974-JFBHQ,Male,0,No,Yes,1,2,0,Credit card (automatic),99.15,6171.2,No,62.24104892,FALSE,FALSE,TRUE,TRUE,TRUE,2,FALSE,FALSE,TRUE,FALSE,2,42602.83476,99.15,TRUE,Month-to-Month,One Line,Fiber Optic
9972-NKTFD,Female,0,No,No,1,1,0,Bank transfer (automatic),54.65,1517.5,No,27.76761208,TRUE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,FALSE,FALSE,0,43651.4018,54.65,TRUE,Month-to-Month,One Line,DSL
9971-ZWPBF,Male,1,Yes,Yes,2,2,0,Electronic check,108.9,3625.2,No,33.2892562,FALSE,FALSE,TRUE,TRUE,TRUE,3,FALSE,FALSE,FALSE,TRUE,3,43483.45179,108.9,TRUE,Month-to-Month,Two or More Lines,Fiber Optic
9970-QBCDA,Female,0,No,No,1,0,0,Credit card (automatic),19.7,129.55,No,6.576142132,TRUE,FALSE,TRUE,FALSE,FALSE,0,TRUE,FALSE,FALSE,FALSE,0,44295.97568,19.7,TRUE,Month-to-Month,One Line,No Internet Service
9967-ATRFS,Female,0,No,No,1,0,0,Mailed check,19.9,367.55,No,18.46984925,TRUE,FALSE,TRUE,FALSE,FALSE,0,TRUE,FALSE,FALSE,FALSE,0,43934.20875,19.9,TRUE,Month-to-Month,One Line,No Internet Service
9965-YOKZB,Male,1,No,No,2,2,0,Electronic check,83.85,790.15,Yes,9.423375075,FALSE,TRUE,TRUE,TRUE,TRUE,0,TRUE,FALSE,FALSE,FALSE,0,44209.37234,83.85,TRUE,Month-to-Month,Two or More Lines,Fiber Optic
9962-BFPDU,Female,0,Yes,Yes,1,0,0,Mailed check,20.05,20.05,No,1,TRUE,FALSE,TRUE,FALSE,FALSE,3,FALSE,FALSE,FALSE,TRUE,3,44465.58333,20.05,TRUE,Month-to-Month,One Line,No Internet Service
9961-JBNMK,Male,1,No,No,1,2,0,Bank transfer (automatic),96.8,2030.3,Yes,20.97417355,FALSE,TRUE,TRUE,TRUE,TRUE,0,TRUE,FALSE,FALSE,FALSE,0,43858.03555,96.8,TRUE,Month-to-Month,One Line,Fiber Optic
9957-YODKZ,Male,1,Yes,No,2,2,0,Electronic check,80.8,457.1,No,5.657178218,FALSE,FALSE,TRUE,TRUE,TRUE,1,FALSE,TRUE,FALSE,FALSE,1,44323.9275,80.8,TRUE,Month-to-Month,Two or More Lines,Fiber Optic
9948-YPTDG,Male,0,Yes,No,1,2,0,Electronic check,79.45,3013.05,Yes,37.92385148,FALSE,TRUE,TRUE,TRUE,TRUE,1,FALSE,TRUE,FALSE,FALSE,1,43342.48285,79.45,TRUE,Month-to-Month,One Line,Fiber Optic
9947-OTFQU,Male,1,No,No,1,2,0,Electronic check,74.4,1074.3,Yes,14.43951613,FALSE,TRUE,TRUE,TRUE,TRUE,0,TRUE,FALSE,FALSE,FALSE,0,44056.79805,74.4,TRUE,Month-to-Month,One Line,Fiber Optic
9944-HKVVB,Female,0,No,No,1,2,0,Electronic check,95.1,307.4,Yes,3.232386961,TRUE,TRUE,TRUE,TRUE,TRUE,0,TRUE,FALSE,FALSE,FALSE,0,44397.68156,95.1,TRUE,Month-to-Month,One Line,Fiber Optic
9944-AEXBM,Male,0,No,No,2,2,0,Bank transfer (automatic),85.65,2664.3,No,31.10683012,FALSE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,FALSE,FALSE,0,43549.83392,85.65,TRUE,Month-to-Month,Two or More Lines,Fiber Optic
9943-VSZUV,Male,1,No,No,2,2,0,Mailed check,75.7,5060.85,No,66.85402906,FALSE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,FALSE,FALSE,0,42462.52328,75.7,TRUE,Month-to-Month,Two or More Lines,Fiber Optic
9940-RHLFB,Female,0,No,No,1,2,0,Electronic check,75.3,75.3,Yes,1,TRUE,TRUE,TRUE,TRUE,TRUE,0,TRUE,FALSE,FALSE,FALSE,0,44465.58333,75.3,TRUE,Month-to-Month,One Line,Fiber Optic
9940-HPQPG,Female,0,Yes,No,2,2,0,Bank transfer (automatic),91.75,865.8,Yes,9.436512262,TRUE,TRUE,TRUE,TRUE,TRUE,1,FALSE,TRUE,FALSE,FALSE,1,44208.97275,91.75,TRUE,Month-to-Month,Two or More Lines,Fiber Optic
9938-EKRGF,Female,0,No,No,1,1,0,Mailed check,84.45,1287.85,No,15.24985198,TRUE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,FALSE,FALSE,0,44032.15034,84.45,TRUE,Month-to-Month,One Line,DSL
9932-WBWIK,Male,0,No,No,1,0,0,Mailed check,20.35,215.25,No,10.57739558,FALSE,FALSE,TRUE,FALSE,FALSE,0,TRUE,FALSE,FALSE,FALSE,0,44174.27088,20.35,TRUE,Month-to-Month,One Line,No Internet Service
9931-KGHOA,Female,0,Yes,No,2,1,0,Bank transfer (automatic),55,2473.95,No,44.98090909,TRUE,FALSE,TRUE,TRUE,TRUE,1,FALSE,TRUE,FALSE,FALSE,1,43127.83068,55,TRUE,Month-to-Month,Two or More Lines,DSL
9929-PLVPA,Female,0,No,Yes,1,0,0,Credit card (automatic),20.4,94.5,No,4.632352941,TRUE,FALSE,TRUE,FALSE,FALSE,2,FALSE,FALSE,TRUE,FALSE,2,44355.09926,20.4,TRUE,Month-to-Month,One Line,No Internet Service
9927-DSWDF,Male,0,Yes,No,1,2,0,Electronic check,104.6,2180.55,No,20.84655832,FALSE,FALSE,TRUE,TRUE,TRUE,1,FALSE,TRUE,FALSE,FALSE,1,43861.91718,104.6,TRUE,Month-to-Month,One Line,Fiber Optic
9921-ZVRHG,Female,0,No,No,2,2,0,Electronic check,80.45,1072,Yes,13.32504661,TRUE,TRUE,TRUE,TRUE,TRUE,0,TRUE,FALSE,FALSE,FALSE,0,44090.6965,80.45,TRUE,Month-to-Month,Two or More Lines,Fiber Optic
